timewindow,average_waiting_time
04 08:00:00,1.0338211764891942
04 08:20:00,0.36595343589782714
04 08:40:00,0.6961399601056025
04 09:00:00,2.0106136251378945
04 09:20:00,3.4661194528594166
04 09:40:00,6.381060654158684
04 10:00:00,7.177063463590082
04 10:20:00,9.327049499709588
04 10:40:00,9.045625212433789
04 11:00:00,10.302702185727547
04 11:20:00,8.998102481592268
04 11:40:00,6.882278558395909
04 12:00:00,5.549052848732262
04 12:20:00,4.148102798726823
04 12:40:00,0.5044324358304342
04 13:00:00,0.17770344756898426
04 13:20:00,0.4596548037869589
04 13:40:00,0.8163256287574768
04 14:00:00,0.21924733290305506
04 14:20:00,0.20587042495608332
04 14:40:00,0.20752414233154723
04 15:00:00,0.14760775342583654
04 15:20:00,0.1553525381618076
04 15:40:00,0.14421466191609703
04 16:00:00,0.19838174184163412
04 16:20:00,0.250950124307915
04 16:40:00,0.15725559128655328
04 17:00:00,0.49487248916251997
04 17:20:00,0.49241833728656437
04 17:40:00,0.3146749156492728
04 18:00:00,4.756656322149726
04 18:20:00,4.33163142689952
04 18:40:00,6.007279635857846
04 19:00:00,4.886639458001262
04 19:20:00,3.896707749792508
04 19:40:00,5.162375603864589
04 20:00:00,1.6245922026534876
04 20:20:00,3.2023180603981025
04 20:40:00,1.8128886504305735
05 08:00:00,4.137618233097924
05 08:20:00,2.135017295181751
05 08:40:00,4.658755193551382
05 09:00:00,4.920319735770131
05 09:20:00,2.204043028431553
05 09:40:00,4.768932830564903
05 10:00:00,7.025775919253367
05 10:20:00,8.801558824508417
05 10:40:00,9.642098841803115
05 11:00:00,7.222940469459024
05 11:20:00,8.375816884054533
05 11:40:00,7.422543509495563
05 12:00:00,3.814653869221608
05 12:20:00,1.3886226730687279
05 12:40:00,2.7746941655289885
05 13:00:00,0.9512148173231828
05 13:20:00,1.5912533205652992
05 13:40:00,2.908658767077658
05 14:00:00,5.246571499109268
05 14:20:00,4.965085755807381
05 14:40:00,5.088469339836211
05 15:00:00,6.720172390270802
05 15:20:00,6.909729672101587
05 15:40:00,7.1115625578929205
05 16:00:00,6.373130680256421
05 16:20:00,4.4059352568217705
05 16:40:00,1.16551870778203
05 17:00:00,0.6337616660656072
05 17:20:00,2.651483748147362
05 17:40:00,5.456854797734154
05 18:00:00,6.5052003949296235
05 18:20:00,5.685699291345551
05 18:40:00,6.2178780634124005
05 19:00:00,5.108062437474727
05 19:20:00,6.016983943018648
05 19:40:00,2.270575604231461
05 20:00:00,2.1493038442399763
05 20:20:00,0.1742542545000712
05 20:40:00,1.4763426502545673
06 08:00:00,4.567344819837146
06 08:20:00,3.0938416600227354
06 08:40:00,1.0095105374852815
06 09:00:00,2.425384516962643
06 09:20:00,3.6398946670194476
06 09:40:00,2.292473780579038
06 10:00:00,2.9267188398818664
06 10:20:00,3.778168393980782
06 10:40:00,6.429543218187901
06 11:00:00,5.356962010378394
06 11:20:00,5.372961801429128
06 11:40:00,4.234708621899288
06 12:00:00,3.026194867534913
06 12:20:00,0.6636593648365565
06 12:40:00,3.367550850907961
06 13:00:00,1.055750691323053
06 13:20:00,4.543802592850695
06 13:40:00,3.718615784380171
06 14:00:00,2.6341905298186283
06 14:20:00,3.232059698540067
06 14:40:00,1.9137401456528522
06 15:00:00,3.8399214960377797
06 15:20:00,6.7655117241190945
06 15:40:00,10.589777050147184
06 16:00:00,11.224797965685529
06 16:20:00,5.494169679394474
06 16:40:00,1.170462320248286
06 17:00:00,6.075651734193167
06 17:20:00,7.027612229357373
06 17:40:00,12.091928944804447
06 18:00:00,10.656123093997733
06 18:20:00,9.060897963103795
06 18:40:00,9.038493320287442
06 19:00:00,9.616014388127207
06 19:20:00,8.51746324409138
06 19:40:00,8.642457285192279
06 20:00:00,7.43294102980031
06 20:20:00,7.296333953814631
06 20:40:00,4.063149631023407
07 08:00:00,6.362181364070801
07 08:20:00,8.722754815746757
07 08:40:00,6.81126118650039
07 09:00:00,6.8950776785612105
07 09:20:00,4.886298377990721
07 09:40:00,5.327278330993084
07 10:00:00,5.279434253517379
07 10:20:00,3.8429204048618444
07 10:40:00,7.699075477501083
07 11:00:00,4.281939765836437
07 11:20:00,5.691769133011498
07 11:40:00,5.992262555222934
07 12:00:00,2.7115795859032215
07 12:20:00,2.8257175019154186
07 12:40:00,0.6972989175630652
07 13:00:00,1.299326056663436
07 13:20:00,0.4695144165886773
07 13:40:00,2.905403380013175
07 14:00:00,1.8947600230282429
07 14:20:00,2.482111485799153
07 14:40:00,4.81701967526431
07 15:00:00,5.0333507504840345
07 15:20:00,5.168765853199305
07 15:40:00,3.344485295035623
07 16:00:00,2.584255536964962
07 16:20:00,1.688174107399854
07 16:40:00,0.9553087661140842
07 17:00:00,2.0957911550052586
07 17:20:00,2.603393174903562
07 17:40:00,2.334419605987413
07 18:00:00,0.8872857176739238
07 18:20:00,0.959843039151394
07 18:40:00,1.0172956898405745
07 19:00:00,1.372219745785582
07 19:20:00,2.395541736483574
07 19:40:00,2.070322428892056
07 20:00:00,1.499677251180013
07 20:20:00,2.0317193396389484
07 20:40:00,2.1433098958088803
08 08:00:00,2.911127059161663
08 08:20:00,0.7480304900805155
08 08:40:00,1.6644397631669654
08 09:00:00,1.2490258054299785
08 09:20:00,1.0567456926239862
08 09:40:00,1.7450549547319059
08 10:00:00,1.6239039932527848
08 10:20:00,0.8855522029804734
08 10:40:00,2.5564672735310334
08 11:00:00,1.8901710227131843
08 11:20:00,2.247564585672484
08 11:40:00,3.7410256179670496
08 12:00:00,2.3295238863338126
08 12:20:00,2.3433233359585635
08 12:40:00,1.2712117721052731
08 13:00:00,1.1688573002815246
08 13:20:00,1.2176269129210826
08 13:40:00,0.7818069765238259
08 14:00:00,1.547841041511105
08 14:20:00,2.54065557785754
08 14:40:00,2.1566976146877934
08 15:00:00,3.097485767815999
08 15:20:00,2.995491594788413
08 15:40:00,1.2535261540631064
08 16:00:00,2.190797298304779
08 16:20:00,3.5980528162464958
08 16:40:00,2.9125080959995584
08 17:00:00,2.335626913270642
08 17:20:00,1.9655721998954003
08 17:40:00,1.6743803345494799
08 18:00:00,2.3409404562165346
08 18:20:00,2.7830805388363924
08 18:40:00,4.006775538315848
08 19:00:00,3.4534768673411587
08 19:20:00,2.930601915459575
08 19:40:00,3.614983620104335
08 20:00:00,5.395280340390328
08 20:20:00,5.303676140785217
08 20:40:00,2.5125830633598456
09 08:00:00,0.18600406448046367
09 08:20:00,0.3145907355077338
09 08:40:00,0.3253478897942437
09 09:00:00,0.4192921300729116
09 09:20:00,0.9468222786982854
09 09:40:00,0.5699299909174442
09 10:00:00,0.7084585611847625
09 10:20:00,0.5549956702523761
09 10:40:00,1.9421260543462244
09 11:00:00,1.4426900174306787
09 11:20:00,1.016714080174764
09 11:40:00,1.6926127838365963
09 12:00:00,0.9085585268716964
09 12:20:00,1.0753627470561438
09 12:40:00,0.9812807136111791
09 13:00:00,0.7062216215061418
09 13:20:00,0.8627717033028603
09 13:40:00,1.3563378588573352
09 14:00:00,2.0779922491560385
09 14:20:00,3.0023297033411396
09 14:40:00,3.1585682563838504
09 15:00:00,2.627596486679145
09 15:20:00,4.443983875445235
09 15:40:00,2.608323966271696
09 16:00:00,2.3349143372972816
09 16:20:00,2.2605250866789572
09 16:40:00,1.5287709774794402
09 17:00:00,0.9242675771713256
09 17:20:00,0.9681998394001489
09 17:40:00,0.9373898440883275
09 18:00:00,2.1102220588608795
09 18:20:00,1.5590277371141643
09 18:40:00,1.072534679174423
09 19:00:00,0.8272286059459051
09 19:20:00,1.4374054365687898
09 19:40:00,0.9552386679251988
09 20:00:00,0.5292950530846913
09 20:20:00,0.6611764825880526
09 20:40:00,2.992367826086102
10 08:00:00,2.830961689352989
10 08:20:00,1.7323160836431712
10 08:40:00,1.8872437208890918
10 09:00:00,0.48979643334945044
10 09:20:00,1.7247630236726819
10 09:40:00,1.6920324745001614
10 10:00:00,0.7258624491426683
10 10:20:00,2.450037690457844
10 10:40:00,3.4644384404926587
10 11:00:00,3.81847194725392
10 11:20:00,1.000125632825352
10 11:40:00,0.5426867244821606
10 12:00:00,2.1021850702308473
10 12:20:00,1.2615606506665549
10 12:40:00,0.3139123929174323
10 13:00:00,1.06628932650884
10 13:20:00,1.5955823285712132
10 13:40:00,0.9163890792612442
10 14:00:00,2.4672426485547834
10 14:20:00,3.195874199712718
10 14:40:00,1.5460051795792957
10 15:00:00,1.0039180121156903
10 15:20:00,0.42164510955997536
10 15:40:00,0.32783439746801407
10 16:00:00,0.3011893795596229
10 16:20:00,0.4423885894544197
10 16:40:00,0.27501488703268545
10 17:00:00,2.8682974119981135
10 17:20:00,3.2636403406990895
10 17:40:00,2.940571482240418
10 18:00:00,2.285624852088781
10 18:20:00,2.6920290910167464
10 18:40:00,1.6945356605099697
10 19:00:00,0.329532760878404
10 19:20:00,0.6234310646851858
10 19:40:00,0.8024166001213922
10 20:00:00,0.24633071223894756
10 20:20:00,0.18822338912222122
10 20:40:00,0.5346214890480041
11 08:00:00,0.6913225650787354
11 08:20:00,0.640231708685557
11 08:40:00,0.27521438360214234
11 09:00:00,0.18960412917313751
11 09:20:00,1.4063554406166074
11 09:40:00,0.4143050056237441
11 10:00:00,0.8107968765955705
11 10:20:00,0.9189757629235586
11 10:40:00,2.82779159641814
11 11:00:00,3.484694788121341
11 11:20:00,3.072944853118822
11 11:40:00,2.2446082958468683
11 12:00:00,4.747285818911735
11 12:20:00,1.8352681050113604
11 12:40:00,3.395295237832599
11 13:00:00,0.35757525761922204
11 13:20:00,0.7136476315833904
11 13:40:00,0.9202264308929446
11 14:00:00,3.2222618865966792
11 14:20:00,2.29556059610276
11 14:40:00,1.6488214434721533
11 15:00:00,1.1754431629792235
11 15:20:00,3.369421677155928
11 15:40:00,0.5484160768489043
11 16:00:00,1.3213053828194032
11 16:20:00,2.2840479252073504
11 16:40:00,1.4191877447764074
11 17:00:00,4.5007793165089796
11 17:20:00,2.5843382861099995
11 17:40:00,1.8727510351401109
11 18:00:00,0.9605957123140495
11 18:20:00,0.8796440334031076
11 18:40:00,1.965185875495275
11 19:00:00,1.5678650333170305
11 19:20:00,0.2708105252848731
11 19:40:00,0.5367147429784138
11 20:00:00,5.472135502762266
11 20:20:00,3.8036412984132766
11 20:40:00,1.0500304261843363
12 08:00:00,0.6424492605527241
12 08:20:00,1.6537233541409175
12 08:40:00,1.1247393755685715
12 09:00:00,0.34920695424079895
12 09:20:00,0.9312238698204356
12 09:40:00,0.8525373731834299
12 10:00:00,3.825280038450585
12 10:20:00,1.382794640730093
12 10:40:00,2.2521351549002495
12 11:00:00,4.859009946551588
12 11:20:00,4.124801118395947
12 11:40:00,3.072768893576505
12 12:00:00,1.8331852237383526
12 12:20:00,0.639138598077827
12 12:40:00,0.27385597966966174
12 13:00:00,4.094641687075297
12 13:20:00,1.2542799157254838
12 13:40:00,4.197845688131121
12 14:00:00,2.3902637974782426
12 14:20:00,2.234048118013324
12 14:40:00,3.830923985008501
12 15:00:00,2.450212207570806
12 15:20:00,4.23799296909908
12 15:40:00,2.394750384060112
12 16:00:00,1.7937341983725388
12 16:20:00,2.033650060494741
12 16:40:00,1.1326884367527104
12 17:00:00,0.991904220647282
12 17:20:00,0.757358756292434
12 17:40:00,1.4650904636634021
12 18:00:00,0.9855038098260468
12 18:20:00,1.632264957541511
12 18:40:00,0.8096444129943847
12 19:00:00,1.3219532401133804
12 19:20:00,0.6294949372609456
12 19:40:00,0.7319157268061782
12 20:00:00,0.5910589056986351
12 20:20:00,0.7139246702194214
12 20:40:00,0.8257358000392004
13 08:00:00,7.447974738809798
13 08:20:00,7.760150000784132
13 08:40:00,9.813371804356574
13 09:00:00,1.2842128624518714
13 09:20:00,1.7038743641641405
13 09:40:00,2.0371309266487754
13 10:00:00,0.8791591187318166
13 10:20:00,6.090411138976062
13 10:40:00,5.837532930088858
13 11:00:00,5.6824041501004645
13 11:20:00,6.72294402276316
13 11:40:00,1.9621302301921542
13 12:00:00,2.358836741540946
13 12:20:00,1.774033018471538
13 12:40:00,2.3903124729792276
13 13:00:00,0.3397801116401074
13 13:20:00,1.3513147945989648
13 13:40:00,1.711414451510818
13 14:00:00,1.6179979429847893
13 14:20:00,2.2600499846317152
13 14:40:00,0.736534757932027
13 15:00:00,0.810582096945672
13 15:20:00,2.1801578386833795
13 15:40:00,0.43456856530122084
13 16:00:00,0.5011764723630179
13 16:20:00,0.42624523767403205
13 16:40:00,2.8670119095731668
13 17:00:00,1.1907901837368204
13 17:20:00,1.9914966453676641
13 17:40:00,2.1611037539111244
13 18:00:00,2.401209056550178
13 18:20:00,1.3688767960777988
13 18:40:00,1.0156156176990934
13 19:00:00,1.211844678719839
13 19:20:00,1.1367535265286761
13 19:40:00,3.1432856362490433
13 20:00:00,3.0392732537928078
13 20:20:00,0.8447905266284943
13 20:40:00,1.7471748095971564
14 08:00:00,0.7533224383989969
14 08:20:00,0.4016727634270986
14 08:40:00,0.24275068994881452
14 09:00:00,0.7444933591065583
14 09:20:00,0.4063726182967897
14 09:40:00,1.166569182436953
14 10:00:00,1.1670991791619196
14 10:20:00,0.8339104623329349
14 10:40:00,0.8183639508554306
14 11:00:00,2.17095320584282
14 11:20:00,3.2285969947323654
14 11:40:00,1.618748238273695
14 12:00:00,0.7040237771670023
14 12:20:00,1.4548654925255549
14 12:40:00,0.5376876212301708
14 13:00:00,0.2942469336589177
14 13:20:00,0.43204772954895393
14 13:40:00,1.793154494273357
14 14:00:00,2.3112178859710695
14 14:20:00,2.0499503820661515
14 14:40:00,2.3869725827279136
14 15:00:00,1.7876240181729073
14 15:20:00,3.3241065044029092
14 15:40:00,3.3508536374793874
14 16:00:00,3.06836536258459
14 16:20:00,1.4829989611238672
14 16:40:00,1.8573495488417777
14 17:00:00,1.1685581351915997
14 17:20:00,2.1542666852474213
14 17:40:00,2.148928122461578
14 18:00:00,0.971580943465233
14 18:20:00,1.025055851141612
14 18:40:00,1.5869110282729655
14 19:00:00,0.6306800251205763
14 19:20:00,2.227099625269572
14 19:40:00,1.576123685462802
14 20:00:00,0.4307375311851501
14 20:20:00,0.1404621031549242
14 20:40:00,0.3171002052448414
15 08:00:00,0.4817486776245965
15 08:20:00,0.8988138887617323
15 08:40:00,0.2206165313720703
15 09:00:00,0.18614651516631797
15 09:20:00,0.33028301771949314
15 09:40:00,0.46811376567778545
15 10:00:00,0.8518307821170705
15 10:20:00,1.3597004171075493
15 10:40:00,1.2623425859875146
15 11:00:00,1.491577809292173
15 11:20:00,1.1698653654618698
15 11:40:00,1.4324157954466463
15 12:00:00,1.2069609736954725
15 12:20:00,0.7176999949026799
15 12:40:00,1.0064449977874754
15 13:00:00,0.7084318993138332
15 13:20:00,1.3609682151513502
15 13:40:00,1.8339044729089418
15 14:00:00,1.224172187734533
15 14:20:00,2.364187681252229
15 14:40:00,3.876835131898839
15 15:00:00,3.169869441881118
15 15:20:00,3.6535122282448276
15 15:40:00,2.660724386430922
15 16:00:00,0.8943142573038738
15 16:20:00,0.5234307570784699
15 16:40:00,0.7720539898444443
15 17:00:00,1.0585999019291936
15 17:20:00,0.9283093796056859
15 17:40:00,1.919409335763366
15 18:00:00,2.2124004796147347
15 18:20:00,2.1076464907143464
15 18:40:00,1.832073851732107
15 19:00:00,3.956490789807361
15 19:20:00,3.4513201094335995
15 19:40:00,1.0544498298962912
15 20:00:00,3.413077337313922
15 20:20:00,3.544632598848054
15 20:40:00,3.4144745365778606
16 08:00:00,0.8357340832551321
16 08:20:00,0.19200165718793868
16 08:40:00,0.9269307533899941
16 09:00:00,1.254118810381208
16 09:20:00,1.1320542336834802
16 09:40:00,0.6284203937683983
16 10:00:00,1.4816434564128997
16 10:20:00,1.0357331210013592
16 10:40:00,3.673032958990608
16 11:00:00,2.473080919391808
16 11:20:00,3.899455741449451
16 11:40:00,2.6856830356234584
16 12:00:00,2.0032279226515026
16 12:20:00,1.3553161259492237
16 12:40:00,1.648542799371662
16 13:00:00,0.8361217649998491
16 13:20:00,3.0621049365426734
16 13:40:00,5.65691021035115
16 14:00:00,6.368304910834901
16 14:20:00,4.230824748277664
16 14:40:00,4.662002637892058
16 15:00:00,5.426700564629615
16 15:20:00,3.298814327269792
16 15:40:00,4.328147298336029
16 16:00:00,1.9813753611070128
16 16:20:00,1.8036496340766441
16 16:40:00,2.271936448517008
16 17:00:00,2.2465021303847976
16 17:20:00,5.045982411111049
16 17:40:00,6.522003926015367
16 18:00:00,4.912535096574248
16 18:20:00,4.6968112189170235
16 18:40:00,3.546399548679892
16 19:00:00,3.599826973014408
16 19:20:00,3.3492290249892633
16 19:40:00,3.7584670384724936
16 20:00:00,1.2295555292235483
16 20:20:00,1.534127146667904
16 20:40:00,1.0951835751533507
17 08:00:00,0.9247159322102865
17 08:20:00,0.14461030264695485
17 08:40:00,6.904488994015588
17 09:00:00,5.907392837784507
17 09:20:00,6.403033257231994
17 09:40:00,2.6810980099335056
17 10:00:00,3.4176404987772306
17 10:20:00,4.991674008340011
17 10:40:00,3.4433094437094947
17 11:00:00,2.7347763844158344
17 11:20:00,1.1957291376443553
17 11:40:00,1.5650726626316704
17 12:00:00,1.337402930524614
17 12:20:00,1.1778312249316112
17 12:40:00,0.6434377823120508
17 13:00:00,0.3827023831280796
17 13:20:00,1.3674712475803164
17 13:40:00,0.7966559372696221
17 14:00:00,0.9137611958185832
17 14:20:00,1.3056040362075523
17 14:40:00,0.7867930630157736
17 15:00:00,0.35738306967417394
17 15:20:00,0.7179521691414616
17 15:40:00,0.6520487491289775
17 16:00:00,0.8203833120663961
17 16:20:00,0.5830620527267456
17 16:40:00,0.5487459116511874
17 17:00:00,1.759272975538984
17 17:20:00,1.738085333333499
17 17:40:00,1.9310660651235871
17 18:00:00,3.4153269401303046
17 18:20:00,2.8280608527171305
17 18:40:00,3.1851153468092286
17 19:00:00,2.727349582990011
17 19:20:00,1.0685347550445132
17 19:40:00,1.9654377945264183
17 20:00:00,1.9459329201115498
17 20:20:00,1.6914849524696667
17 20:40:00,1.3416168967882791
18 08:00:00,0.07705386479695638
18 08:20:00,0.37024428049723307
18 08:40:00,0.4155914611286587
18 09:00:00,0.7994493528207143
18 09:20:00,1.4960776994625729
18 09:40:00,1.1219439637966646
18 10:00:00,3.189564657778967
18 10:20:00,2.2672584439317385
18 10:40:00,2.280025826509182
18 11:00:00,3.596086597442627
18 11:20:00,2.4071451728160564
18 11:40:00,1.8094560345013937
18 12:00:00,1.5248385047912596
18 12:20:00,0.4727820098400116
18 12:40:00,0.2837206923299365
18 13:00:00,0.20402312676111858
18 13:20:00,0.14558797424489803
18 13:40:00,0.5624104424317677
18 14:00:00,0.2128118963468642
18 14:20:00,0.28561936364029394
18 14:40:00,0.3323082138510311
18 15:00:00,0.19977368008006702
18 15:20:00,0.22439884344736732
18 15:40:00,0.3422859247525533
18 16:00:00,0.27260478920406767
18 16:20:00,1.1864902026725537
18 16:40:00,1.9683361375541018
18 17:00:00,1.7025868875009043
18 17:20:00,2.061292660236359
18 17:40:00,3.4687159377595647
18 18:00:00,3.487081943733105
18 18:20:00,1.7580655235714382
18 18:40:00,0.6403416554133098
18 19:00:00,0.6463362657662594
18 19:20:00,1.66275272658377
18 19:40:00,0.7196853892008462
18 20:00:00,0.4374717911084493
18 20:20:00,0.1743194401264191
